,Ligand,PDB_Crystal,Run,Binding_Energy
0,NKL,NKL_3N0T,52,-0.29
0,NKL,NKL_3N0T,11,-0.27
0,NKL,NKL_3N0T,79,-0.25
0,NKL,NKL_3N0T,74,-0.19
0,NKL,NKL_3N0T,27,-0.1
0,NKL,NKL_3N0T,15,-0.0
0,NKL,NKL_3N0T,58,0.02
0,NKL,NKL_3N0T,2,0.11
0,NKL,NKL_3N0T,18,0.14
0,NKL,NKL_3N0T,28,0.16
0,NKL,NKL_3N0T,60,0.16
0,NKL,NKL_3N0T,46,0.4
0,NKL,NKL_3N0T,73,0.53
0,NKL,NKL_3N0T,48,0.55
0,NKL,NKL_3N0T,65,0.57
0,NKL,NKL_3N0T,26,0.66
0,NKL,NKL_3N0T,12,0.67
0,NKL,NKL_3N0T,24,1.13
0,NKL,NKL_3N0T,78,1.45
0,NKL,NKL_3N0T,84,2.22
0,NKL,NKL_3N0T,1,2.24
0,NKL,NKL_3N0T,17,16800000.0
0,NKL,NKL_3N0T,16,0.01
0,NKL,NKL_3N0T,3,0.05
0,NKL,NKL_3N0T,77,0.06
0,NKL,NKL_3N0T,76,0.19
0,NKL,NKL_3N0T,47,0.34
0,NKL,NKL_3N0T,69,0.36
0,NKL,NKL_3N0T,66,0.39
0,NKL,NKL_3N0T,59,0.41
0,NKL,NKL_3N0T,39,0.41
0,NKL,NKL_3N0T,56,0.41
0,NKL,NKL_3N0T,4,0.44
0,NKL,NKL_3N0T,64,0.46
0,NKL,NKL_3N0T,19,0.47
0,NKL,NKL_3N0T,41,0.49
0,NKL,NKL_3N0T,13,0.51
0,NKL,NKL_3N0T,67,0.54
0,NKL,NKL_3N0T,83,0.56
0,NKL,NKL_3N0T,45,0.58
0,NKL,NKL_3N0T,21,0.6
0,NKL,NKL_3N0T,63,0.62
0,NKL,NKL_3N0T,50,0.64
0,NKL,NKL_3N0T,37,0.69
0,NKL,NKL_3N0T,57,0.7
0,NKL,NKL_3N0T,6,0.72
0,NKL,NKL_3N0T,49,0.74
0,NKL,NKL_3N0T,91,0.78
0,NKL,NKL_3N0T,87,0.79
0,NKL,NKL_3N0T,62,0.82
0,NKL,NKL_3N0T,82,0.87
0,NKL,NKL_3N0T,7,0.95
0,NKL,NKL_3N0T,54,0.99
0,NKL,NKL_3N0T,29,1.09
0,NKL,NKL_3N0T,36,1.1
0,NKL,NKL_3N0T,43,1.14
0,NKL,NKL_3N0T,80,1.16
0,NKL,NKL_3N0T,20,1.16
0,NKL,NKL_3N0T,14,1.23
0,NKL,NKL_3N0T,96,1.26
0,NKL,NKL_3N0T,86,1.29
0,NKL,NKL_3N0T,61,1.31
0,NKL,NKL_3N0T,88,1.31
0,NKL,NKL_3N0T,94,1.32
0,NKL,NKL_3N0T,5,1.35
0,NKL,NKL_3N0T,9,1.35
0,NKL,NKL_3N0T,70,1.48
0,NKL,NKL_3N0T,22,1.52
0,NKL,NKL_3N0T,85,1.54
0,NKL,NKL_3N0T,89,1.56
0,NKL,NKL_3N0T,35,1.57
0,NKL,NKL_3N0T,32,1.6
0,NKL,NKL_3N0T,53,1.65
0,NKL,NKL_3N0T,31,1.67
0,NKL,NKL_3N0T,34,1.7
0,NKL,NKL_3N0T,100,1.74
0,NKL,NKL_3N0T,38,1.8
0,NKL,NKL_3N0T,8,1.84
0,NKL,NKL_3N0T,40,1.87
0,NKL,NKL_3N0T,97,1.88
0,NKL,NKL_3N0T,55,1.9
0,NKL,NKL_3N0T,93,1.91
0,NKL,NKL_3N0T,42,1.91
0,NKL,NKL_3N0T,44,2.11
0,NKL,NKL_3N0T,92,2.44
0,NKL,NKL_3N0T,30,2.47
0,NKL,NKL_3N0T,25,2.48
0,NKL,NKL_3N0T,99,2.83
0,NKL,NKL_3N0T,68,3.09
0,NKL,NKL_3N0T,90,3.76
0,NKL,NKL_3g0d,91,-5.54
0,NKL,NKL_3g0d,78,-5.53
0,NKL,NKL_3g0d,16,-5.53
0,NKL,NKL_3g0d,79,-5.52
0,NKL,NKL_3g0d,41,-5.52
0,NKL,NKL_3g0d,27,-5.51
0,NKL,NKL_3g0d,5,-5.51
0,NKL,NKL_3g0d,29,-5.5
0,NKL,NKL_3g0d,60,-5.49
0,NKL,NKL_3g0d,58,-5.48
0,NKL,NKL_3g0d,4,-5.47
0,NKL,NKL_3g0d,61,-5.47
0,NKL,NKL_3g0d,30,-5.46
0,NKL,NKL_3g0d,18,-5.46
0,NKL,NKL_3g0d,74,-5.44
0,NKL,NKL_3g0d,70,-5.43
0,NKL,NKL_3g0d,57,-5.43
0,NKL,NKL_3g0d,12,-5.42
0,NKL,NKL_3g0d,71,-5.41
0,NKL,NKL_3g0d,6,-5.41
0,NKL,NKL_3g0d,95,-5.38
0,NKL,NKL_3g0d,52,-5.38
0,NKL,NKL_3g0d,21,-5.38
0,NKL,NKL_3g0d,42,-5.37
0,NKL,NKL_3g0d,65,-5.33
0,NKL,NKL_3g0d,92,-5.33
0,NKL,NKL_3g0d,62,-5.32
0,NKL,NKL_3g0d,34,-5.3
0,NKL,NKL_3g0d,93,-5.3
0,NKL,NKL_3g0d,36,-5.28
0,NKL,NKL_3g0d,39,-5.24
0,NKL,NKL_3g0d,10,-5.24
0,NKL,NKL_3g0d,59,-5.23
0,NKL,NKL_3g0d,50,-5.23
0,NKL,NKL_3g0d,35,-5.22
0,NKL,NKL_3g0d,63,-5.21
0,NKL,NKL_3g0d,33,-5.2
0,NKL,NKL_3g0d,2,-5.18
0,NKL,NKL_3g0d,19,-5.17
0,NKL,NKL_3g0d,17,-5.13
0,NKL,NKL_3g0d,99,-5.11
0,NKL,NKL_3g0d,31,-5.11
0,NKL,NKL_3g0d,7,-5.09
0,NKL,NKL_3g0d,55,-5.09
0,NKL,NKL_3g0d,100,-5.08
0,NKL,NKL_3g0d,47,-5.08
0,NKL,NKL_3g0d,38,-5.06
0,NKL,NKL_3g0d,28,-5.06
0,NKL,NKL_3g0d,76,-5.05
0,NKL,NKL_3g0d,94,-5.03
0,NKL,NKL_3g0d,20,-5.03
0,NKL,NKL_3g0d,54,-5.03
0,NKL,NKL_3g0d,3,-5.02
0,NKL,NKL_3g0d,1,-5.0
0,NKL,NKL_3g0d,53,-4.99
0,NKL,NKL_3g0d,68,-4.98
0,NKL,NKL_3g0d,44,-4.97
0,NKL,NKL_3g0d,89,-4.96
0,NKL,NKL_3g0d,80,-4.95
0,NKL,NKL_3g0d,49,-4.94
0,NKL,NKL_3g0d,67,-4.94
0,NKL,NKL_3g0d,86,-4.93
0,NKL,NKL_3g0d,66,-4.91
0,NKL,NKL_3g0d,40,-4.91
0,NKL,NKL_3g0d,22,-4.9
0,NKL,NKL_3g0d,14,-4.9
0,NKL,NKL_3g0d,97,-4.88
0,NKL,NKL_3g0d,25,-4.86
0,NKL,NKL_3g0d,85,-4.79
0,NKL,NKL_3g0d,73,-4.76
0,NKL,NKL_3g0d,96,-4.76
0,NKL,NKL_3g0d,75,-4.75
0,NKL,NKL_3g0d,37,-4.74
0,NKL,NKL_3g0d,13,-4.47
0,NKL,NKL_3g0d,82,-4.36
0,NKL,NKL_3g0d,69,-5.38
0,NKL,NKL_3g0d,23,-5.33
0,NKL,NKL_3g0d,26,-5.25
0,NKL,NKL_3g0d,9,-5.11
0,NKL,NKL_3g0d,24,-5.03
0,NKL,NKL_3g0d,48,-4.97
0,NKL,NKL_3g0d,8,-4.93
0,NKL,NKL_3g0d,90,-4.91
0,NKL,NKL_3g0d,72,-4.87
0,NKL,NKL_3g0d,87,-4.85
0,NKL,NKL_3g0d,81,-4.79
0,NKL,NKL_3g0d,51,-4.79
0,NKL,NKL_3g0d,83,-4.79
0,NKL,NKL_3g0d,77,-4.78
0,NKL,NKL_3g0d,43,-4.77
0,NKL,NKL_3g0d,98,-4.76
0,NKL,NKL_3g0d,11,-4.69
0,NKL,NKL_3g0d,56,-4.69
0,NKL,NKL_3g0d,84,-4.66
0,NKL,NKL_3g0d,64,-4.66
0,NKL,NKL_3g0d,88,-4.65
0,NKL,NKL_3g0d,32,-4.63
0,NKL,NKL_3g0d,46,-4.51
0,NKL,NKL_3g0d,15,-4.72
0,NKL,NKL_3g0d,45,-4.61
0,NKL,NKL_7ots,30,49.15
0,NKL,NKL_7ots,18,50.47
0,NKL,NKL_7ots,27,50.72
0,NKL,NKL_7ots,20,51.1
0,NKL,NKL_7ots,56,51.85
0,NKL,NKL_7ots,88,51.95
0,NKL,NKL_7ots,59,52.92
0,NKL,NKL_7ots,66,53.59
0,NKL,NKL_7ots,68,54.03
0,NKL,NKL_7ots,100,54.14
0,NKL,NKL_7ots,43,54.2
0,NKL,NKL_7ots,16,54.65
0,NKL,NKL_7ots,25,55.28
0,NKL,NKL_7ots,79,55.58
0,NKL,NKL_7ots,15,56.19
0,NKL,NKL_7ots,39,56.2
0,NKL,NKL_7ots,45,56.63
0,NKL,NKL_7ots,24,56.77
0,NKL,NKL_7ots,13,57.02
0,NKL,NKL_7ots,49,57.12
0,NKL,NKL_7ots,83,57.15
0,NKL,NKL_7ots,91,57.18
0,NKL,NKL_7ots,97,57.53
0,NKL,NKL_7ots,2,57.77
0,NKL,NKL_7ots,96,58.35
0,NKL,NKL_7ots,21,58.73
0,NKL,NKL_7ots,34,58.74
0,NKL,NKL_7ots,62,59.23
0,NKL,NKL_7ots,92,61.32
0,NKL,NKL_7ots,46,61.4
0,NKL,NKL_7ots,99,61.43
0,NKL,NKL_7ots,47,62.28
0,NKL,NKL_7ots,86,62.3
0,NKL,NKL_7ots,23,62.5
0,NKL,NKL_7ots,5,62.52
0,NKL,NKL_7ots,81,62.61
0,NKL,NKL_7ots,65,62.72
0,NKL,NKL_7ots,14,63.41
0,NKL,NKL_7ots,44,66.17
0,NKL,NKL_7ots,9,67.75
0,NKL,NKL_7ots,61,68.05
0,NKL,NKL_7ots,52,68.28
0,NKL,NKL_7ots,80,69.07
0,NKL,NKL_7ots,48,69.55
0,NKL,NKL_7ots,54,69.6
